rank,id,name,year,imdb_votes,imdb_rating,certificate,duration,genre,cast_id,cast_name,director_id,director_name,writter_name,writter_id,img_link
16,tt0133093,The Matrix,1999,1867547,8.7,A,136,"Action,Sci-Fi","nm0000206,nm0000401,nm0005251,nm0915989,nm0287825,nm0001592,nm0159059,nm0032810,nm0233391,nm0565883,nm0662562,nm0323822,nm0853079,nm0040058,nm0336802,nm0630124,nm0330139,nm0936894","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Marcus Chong,Julian Arahanga,Matt Doran,Belinda McClory,Anthony Ray Parker,Paul Goddard,Robert Taylor,David Aston,Marc Aden Gray,Ada Nicodemou,Deni Gordon,Rowan Witt","nm0905154,nm0905152","Lana Wachowski,Lilly Wachowski","Lilly Wachowski,Lana Wachowski","nm0905152,nm0905154",https://m.media-amazon.com/images/M/MV5BZTk1MWY3ZWItYmNmOC00NTQzLWFjYWItYzI0NGVhZDJhMWNiXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UX380_CR0
17,tt0099685,Goodfellas,1990,1124975,8.7,A,145,"Biography,Crime,Drama","nm0000134,nm0000501,nm0000582,nm0000966,nm0000649,nm0803370,nm0201700,nm0823563,nm0898634,nm0522797,nm0226746,nm0950267,nm0557848,nm0778734,nm0778737,nm0791877,nm0000529,nm0935247","Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,Chuck Low,Frank DiLeo,Henny Youngman,Gina Mastrogiacomo,Catherine Scorsese,Charles Scorsese,Suzanne Shepherd,Debi Mazar,Margo Winkler",nm0000217,Martin Scorsese,"Nicholas Pileggi,Martin Scorsese","nm0683380,nm0000217",https://m.media-amazon.com/images/M/MV5BNDNkNTJlN2EtYTUwOC00Mzg1LTkwOTUtOGIyNTc3NjA4MjRkXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UX380_CR0
18,tt0073486,One Flew Over the Cuckoo's Nest,1975,987558,8.7,A,133,Drama,"nm0000197,nm0001221,nm0077720,nm0110480,nm0111954,nm0113000,nm0001079,nm0191784,nm0000362,nm0240239,nm0253574,nm0271753,nm0313554,nm0448590,nm0483256,nm0489861,nm0497656,nm0000502","Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,Dean R. Brooks,Alonzo Brown,Scatman Crothers,Mwako Cumbuka,Danny DeVito,William Duell,Josip Elic,Lan Fendors,Nathan George,Ken Kenny,Mel Lambert,Sydney Lassick,Kay Lee,Christopher Lloyd",nm0001232,Milos Forman,"Lawrence Hauben,Bo Goldman,Ken Kesey","nm0369142,nm0325743,nm0450181",https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0
19,tt0114369,Se7en,1995,1596843,8.6,A,127,"Crime,Drama,Mystery","nm0000151,nm0000093,nm0000228,nm0001825,nm0669254,nm0000569,nm0144307,nm0532943,nm0188598,nm0146146,nm0000388,nm0160690,nm0401352,nm0416551,nm0203525,nm0172172,nm0367211,nm0745780","Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,Daniel Zacapa,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey,George Christy,Endre Hules,Hawthorne James,William Davidson,Bob Collins,Jimmy Dale Hartsell,Richard Roundtree",nm0000399,David Fincher,Andrew Kevin Walker,nm0001825,https://m.media-amazon.com/images/M/MV5BMWM3ZjkyMzctNzc4OC00ODU1LTlkMjYtMTZkZjU0ZjU3MTliXkEyXkFqcGdeQXVyMzExODEzNDA@._V1_QL75_UY562_CR4
20,tt0047478,Shichinin no samurai,1954,340526,8.6,U,207,"Action,Drama","nm0001536,nm0793766,nm0875477,nm0793616,nm0297869,nm0441961,nm0454087,nm0156928,nm0594348,nm0467566,nm0383091,nm0408343,nm0875237,nm0462679,nm0867391,nm0879918,nm0851071,nm1226419","Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara,Daisuke Katô,Isao Kimura,Minoru Chiaki,Seiji Miyaguchi,Yoshio Kosugi,Bokuzen Hidari,Yoshio Inaba,Yoshio Tsuchiya,Kokuten Kôdô,Eijirô Tôno,Kichijirô Ueda,Jun Tatara,Atsushi Watanabe",nm0000041,Akira Kurosawa,"Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni","nm0000041,nm0368074,nm0644823",https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_QL75_UY562_CR11
21,tt0038650,It's a Wonderful Life,1946,446922,8.6,PG,130,"Drama,Family,Fantasy","nm0000071,nm0001656,nm0000859,nm0593775,nm0871287,nm0094135,nm0269709,nm0000955,nm0002108,nm0912478,nm0007214,nm0439851,nm0385594,nm0871695,nm0666634,nm0930239,nm0250352,nm0249602","James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Frank Albertson,Todd Karns,Samuel S. Hinds,Mary Treen,Virginia Patton,Charles Williams,Sarah Edwards,William Edmunds",nm0001008,Frank Capra,"Frances Goodrich,Albert Hackett,Frank Capra","nm0329304,nm0352443,nm0001008",https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY562_CR3
22,tt0102926,The Silence of the Lambs,1991,1392578,8.6,A,118,"Crime,Drama,Thriller","nm0000149,nm0000164,nm0095029,nm0501435,nm0942145,nm0001277,nm0372217,nm0265670,nm0110667,nm0780557,nm0748785,nm0804705,nm1508029,nm0502229,nm0777230,nm0733940,nm0807548,nm0505971","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,Scott Glenn,Anthony Heald,Frankie Faison,Don Brockett,Frank Seals Jr.,Stuart Rudin,Maria Skorobogatov,Jeffrie Lane,Leib Lensky,George 'Red' Schwartz,Jim Roche,Brooke Smith,Ted Levine",nm0001129,Jonathan Demme,"Thomas Harris,Ted Tally","nm0365383,nm0848217",https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY562_CR1
23,tt0317248,Cidade de Deus,2002,743932,8.6,A,130,"Crime,Drama","nm1179105,nm1129884,nm0618690,nm1249574,nm1179683,nm1178560,nm1179580,nm1403603,nm0103797,nm1248280,nm0646663,nm1249471,nm1368917,nm1404223,nm1323565,nm1402033,nm1130610,nm1248992","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Seu Jorge,Jefechander Suplino,Alice Braga,Emerson Gomes,Edson Oliveira,Michel Gomes,Roberta Rodrigues,Luis Otávio,Kiko Marques,Gustavo Engrácia,Darlan Cunha,Robson Rocha","nm0576987,nm0526199","Fernando Meirelles,Kátia Lund","Paulo Lins,Bráulio Mantovani","nm0513130,nm1130251",https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX380_CR0
24,tt0120815,Saving Private Ryan,1998,1354311,8.6,A,169,"Drama,War","nm0000158,nm0000354,nm0001744,nm0122653,nm0001608,nm0004965,nm0004874,nm0000610,nm0001111,nm0001101,nm0316079,nm0001199,nm0821152,nm0242882,nm0116465,nm0148738,nm0330983,nm0692139","Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg,Vin Diesel,Giovanni Ribisi,Jeremy Davies,Ted Danson,Paul Giamatti,Dennis Farina,Joerg Stadler,Max Martini,Dylan Bruno,Daniel Cerqueira,Demetri Goritsas,Ian Porter",nm0000229,Steven Spielberg,Robert Rodat,nm0734441,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY562_CR1
25,tt0118799,La vita è bella,1997,679573,8.6,U,116,"Comedy,Drama,Romance","nm0000905,nm0000971,nm0134493,nm0243842,nm0082979,nm0004650,nm0001976,nm0019145,nm0518057,nm0284997,nm0211599,nm0350147,nm0495476,nm0019142,nm0056391,nm0080641,nm0092104,nm0120717","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Marisa Paredes,Horst Buchholz,Lidia Alfonsi,Giuliana Lojodice,Amerigo Fontani,Pietro De Silva,Francesco Guzzo,Raffaella Lebboroni,Claudio Alfonsi,Gil Baroni,Massimo Bianchi,Jürgen Bohn,Verena Buratti",nm0000905,Roberto Benigni,"Vincenzo Cerami,Roberto Benigni","nm0148437,nm0000905",https://m.media-amazon.com/images/M/MV5BMzliYTRhOTYtZjFiYi00MjI0LTkxY2EtMTNjNjMwM2UwNTdlXkEyXkFqcGdeQXVyNDI3NjU1NzQ@._V1_QL75_UX380_CR0
